phi,x,Q2,t,value,stat_u,syst_u,syst_ub
7.5,0.336,2.161,0.171,7.3,6.5,0.0,8.0
22.5,0.336,2.161,0.171,1.7,6.7,2.8,1.8
37.5,0.336,2.161,0.171,7.6,6.1,2.8,0.4
52.5,0.336,2.161,0.171,7.6,6.2,2.9,0.5
67.5,0.336,2.161,0.171,25.8,5.3,5.7,0.0
82.5,0.336,2.161,0.171,14.9,5.1,3.2,0.4
97.5,0.336,2.161,0.171,14.2,4.5,3.3,0.0
112.5,0.336,2.161,0.171,23.3,4.2,0.0,2.6
127.5,0.336,2.161,0.171,11.3,4.2,0.8,3.8
142.5,0.336,2.161,0.171,7.0,3.9,1.2,0.2
157.5,0.336,2.161,0.171,-3.1,3.7,1.2,0.0
172.5,0.336,2.161,0.171,4.5,3.7,4.0,0.3
187.5,0.336,2.161,0.171,-1.7,3.5,0.1,2.5
202.5,0.336,2.161,0.171,-2.1,3.6,1.8,1.3
217.5,0.336,2.161,0.171,-9.2,3.9,0.6,0.7
232.5,0.336,2.161,0.171,-13.5,4.1,2.6,0.0
247.5,0.336,2.161,0.171,-6.8,4.1,2.4,0.0
262.5,0.336,2.161,0.171,-22.7,4.5,2.2,0.8
277.5,0.336,2.161,0.171,-19.9,4.8,0.4,1.4
292.5,0.336,2.161,0.171,-17.6,5.4,2.3,0.5
307.5,0.336,2.161,0.171,-23.2,5.5,0.0,4.8
322.5,0.336,2.161,0.171,-19.2,5.9,3.5,0.0
337.5,0.336,2.161,0.171,-4.7,6.2,0.4,0.9
352.5,0.336,2.161,0.171,-4.1,6.5,1.8,3.4
7.5,0.342,2.190,0.231,14.4,10.1,0.3,6.4
22.5,0.342,2.190,0.231,32.4,8.9,0.3,3.2
37.5,0.342,2.190,0.231,16.2,7.9,8.5,0.0
52.5,0.342,2.190,0.231,17.7,6.4,3.3,2.7
67.5,0.342,2.190,0.231,20.2,5.8,2.9,1.6
82.5,0.342,2.190,0.231,8.7,5.0,0.7,3.4
97.5,0.342,2.190,0.231,21.1,4.8,0.4,0.8
112.5,0.342,2.190,0.231,18.6,4.0,1.4,0.6
127.5,0.342,2.190,0.231,11.5,3.6,0.1,4.6
142.5,0.342,2.190,0.231,10.7,3.5,1.6,0.7
157.5,0.342,2.190,0.231,6.4,3.5,0.2,0.9
172.5,0.342,2.190,0.231,1.4,3.4,3.6,0.0
187.5,0.342,2.190,0.231,-1.2,3.4,2.2,0.5
202.5,0.342,2.190,0.231,1.4,3.6,0.5,1.1
217.5,0.342,2.190,0.231,-9.5,3.7,0.0,2.2
232.5,0.342,2.190,0.231,-3.8,3.8,0.0,2.1
247.5,0.342,2.190,0.231,-8.4,4.0,0.0,1.8
262.5,0.342,2.190,0.231,-11.2,4.5,0.9,0.7
277.5,0.342,2.190,0.231,-22.1,4.8,2.2,0.8
292.5,0.342,2.190,0.231,-21.5,5.4,0.8,1.6
307.5,0.342,2.190,0.231,-27.4,6.3,7.9,0.0
322.5,0.342,2.190,0.231,-17.0,7.2,0.0,2.9
337.5,0.342,2.190,0.231,5.9,8.3,0.0,5.4
352.5,0.342,2.190,0.231,6.6,9.4,2.5,2.0
7.5,0.343,2.194,0.278,,,,
22.5,0.343,2.194,0.278,,,,
37.5,0.343,2.194,0.278,16.8,8.7,0.0,7.4
52.5,0.343,2.194,0.278,11.7,7.4,6.6,1.6
67.5,0.343,2.194,0.278,12.5,6.5,0.0,4.6
82.5,0.343,2.194,0.278,17.9,5.4,0.9,0.9
97.5,0.343,2.194,0.278,13.5,4.6,2.4,0.0
112.5,0.343,2.194,0.278,11.3,4.2,0.2,2.0
127.5,0.343,2.194,0.278,2.3,3.3,1.2,0.8
142.5,0.343,2.194,0.278,5.7,3.4,1.7,0.0
157.5,0.343,2.194,0.278,4.1,3.5,0.2,3.0
172.5,0.343,2.194,0.278,0.8,3.6,0.5,0.9
187.5,0.343,2.194,0.278,2.5,3.6,0.3,1.9
202.5,0.343,2.194,0.278,-3.3,3.3,0.9,0.1
217.5,0.343,2.194,0.278,-6.3,3.6,1.4,0.0
232.5,0.343,2.194,0.278,-3.4,3.7,0.6,0.5
247.5,0.343,2.194,0.278,-3.6,3.8,0.2,0.9
262.5,0.343,2.194,0.278,-19.1,4.3,0.0,5.1
277.5,0.343,2.194,0.278,-14.7,5.0,5.1,0.0
292.5,0.343,2.194,0.278,-16.1,5.5,0.5,2.7
307.5,0.343,2.194,0.278,-3.2,6.9,1.1,3.4
322.5,0.343,2.194,0.278,-2.6,8.1,3.4,0.0
337.5,0.343,2.194,0.278,,,,
352.5,0.343,2.194,0.278,,,,
7.5,0.342,2.191,0.324,,,,
22.5,0.342,2.191,0.324,,,,
37.5,0.342,2.191,0.324,5.3,11.9,2.6,3.5
52.5,0.342,2.191,0.324,16.5,9.0,0.0,4.3
67.5,0.342,2.191,0.324,17.9,8.0,0.0,5.4
82.5,0.342,2.191,0.324,13.0,5.5,4.5,0.7
97.5,0.342,2.191,0.324,12.5,4.9,5.0,0.2
112.5,0.342,2.191,0.324,1.5,4.2,3.8,0.0
127.5,0.342,2.191,0.324,9.5,3.9,0.1,0.7
142.5,0.342,2.191,0.324,7.8,3.7,0.0,1.1
157.5,0.342,2.191,0.324,7.2,3.6,0.0,1.0
172.5,0.342,2.191,0.324,0.8,3.4,0.4,1.9
187.5,0.342,2.191,0.324,-0.2,3.4,0.0,1.0
202.5,0.342,2.191,0.324,-9.4,3.8,2.5,0.0
217.5,0.342,2.191,0.324,-7.3,3.4,1.2,0.0
232.5,0.342,2.191,0.324,-3.9,3.8,0.9,0.8
247.5,0.342,2.191,0.324,-0.6,3.8,1.8,0.0
262.5,0.342,2.191,0.324,-3.0,4.8,0.7,2.0
277.5,0.342,2.191,0.324,-19.4,5.6,0.0,3.1
292.5,0.342,2.191,0.324,-20.0,7.1,1.5,2.7
307.5,0.342,2.191,0.324,-21.8,7.8,2.2,1.8
322.5,0.342,2.191,0.324,-26.5,12.3,3.9,0.0
337.5,0.342,2.191,0.324,,,,
352.5,0.342,2.191,0.324,,,,
7.5,0.342,2.193,0.371,,,,
22.5,0.342,2.193,0.371,,,,
37.5,0.342,2.193,0.371,-23.9,23.3,5.6,1.7
52.5,0.342,2.193,0.371,7.7,12.1,0.5,0.0
67.5,0.342,2.193,0.371,5.9,8.6,0.2,4.5
82.5,0.342,2.193,0.371,0.2,6.1,3.9,1.3
97.5,0.342,2.193,0.371,12.7,5.3,0.9,3.4
112.5,0.342,2.193,0.371,-3.2,4.3,1.0,1.0
127.5,0.342,2.193,0.371,5.1,3.6,0.1,2.0
142.5,0.342,2.193,0.371,4.5,3.5,0.6,1.9
157.5,0.342,2.193,0.371,3.8,3.7,0.5,0.4
172.5,0.342,2.193,0.371,-0.2,3.9,3.4,0.0
187.5,0.342,2.193,0.371,8.5,3.6,1.3,0.3
202.5,0.342,2.193,0.371,0.5,3.8,0.0,3.6
217.5,0.342,2.193,0.371,-4.1,3.4,2.6,0.2
232.5,0.342,2.193,0.371,-7.9,3.8,1.3,0.2
247.5,0.342,2.193,0.371,-4.9,4.2,2.1,0.5
262.5,0.342,2.193,0.371,-0.9,4.4,2.0,0.1
277.5,0.342,2.193,0.371,-4.8,5.7,0.0,2.5
292.5,0.342,2.193,0.371,-15.4,7.7,0.0,3.8
307.5,0.342,2.193,0.371,-9.7,10.6,2.2,1.5
322.5,0.342,2.193,0.371,-19.9,17.6,0.0,5.8
337.5,0.342,2.193,0.371,,,,
352.5,0.342,2.193,0.371,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
