phi,x,Q2,t,value,stat_u,syst_u,syst_ub
52.5,0.398,2.074,0.279,41.2,3.4,0.0,4.4
67.5,0.398,2.074,0.279,34.6,3.0,0.0,1.5
82.5,0.398,2.074,0.279,30.9,2.9,3.3,0.0
97.5,0.398,2.074,0.279,30.5,2.7,0.5,2.0
112.5,0.398,2.074,0.279,28.9,2.5,0.0,1.2
127.5,0.398,2.074,0.279,23.1,2.2,0.0,3.4
142.5,0.398,2.074,0.279,23.2,2.2,0.0,1.4
157.5,0.398,2.074,0.279,25.4,2.3,0.0,2.8
172.5,0.398,2.074,0.279,24.2,2.2,0.0,2.3
187.5,0.398,2.074,0.279,22.4,2.1,0.0,0.9
202.5,0.398,2.074,0.279,20.4,2.0,0.0,1.1
217.5,0.398,2.074,0.279,29.1,2.4,0.0,5.0
232.5,0.398,2.074,0.279,21.6,2.2,0.0,1.2
247.5,0.398,2.074,0.279,26.7,2.5,0.0,3.1
262.5,0.398,2.074,0.279,30.0,2.7,0.0,2.2
277.5,0.398,2.074,0.279,34.9,2.8,0.0,4.2
292.5,0.398,2.074,0.279,30.5,2.7,1.4,0.2
307.5,0.398,2.074,0.279,35.9,3.0,1.6,0.0
322.5,0.398,2.074,0.279,41.0,3.3,0.0,0.8
337.5,0.398,2.074,0.279,46.9,3.8,1.4,0.7
352.5,0.398,2.074,0.279,44.0,4.1,0.3,1.6
7.5,0.400,2.084,0.324,50.5,5.9,2.1,1.3
22.5,0.400,2.084,0.324,51.7,5.1,0.8,1.7
37.5,0.400,2.084,0.324,36.2,4.0,1.0,0.0
52.5,0.400,2.084,0.324,36.4,3.8,0.0,2.7
67.5,0.400,2.084,0.324,30.7,3.2,0.0,3.2
82.5,0.400,2.084,0.324,24.9,3.0,1.8,0.0
97.5,0.400,2.084,0.324,26.4,2.9,0.4,1.4
112.5,0.400,2.084,0.324,20.0,2.5,0.0,1.2
127.5,0.400,2.084,0.324,24.5,2.6,0.0,1.8
142.5,0.400,2.084,0.324,18.9,2.4,0.3,0.7
157.5,0.400,2.084,0.324,20.0,2.7,0.0,1.6
172.5,0.400,2.084,0.324,18.5,2.6,0.3,1.2
187.5,0.400,2.084,0.324,16.6,2.6,0.5,0.4
202.5,0.400,2.084,0.324,22.8,2.8,1.5,0.3
217.5,0.400,2.084,0.324,22.1,2.6,0.0,2.9
232.5,0.400,2.084,0.324,20.8,2.6,1.0,0.0
247.5,0.400,2.084,0.324,28.1,2.9,0.0,4.2
262.5,0.400,2.084,0.324,24.8,2.9,1.2,0.2
277.5,0.400,2.084,0.324,28.2,3.1,0.4,1.1
292.5,0.400,2.084,0.324,27.0,3.0,3.6,0.0
307.5,0.400,2.084,0.324,39.3,3.6,0.0,1.4
322.5,0.400,2.084,0.324,39.5,4.1,0.6,2.2
337.5,0.400,2.084,0.324,41.4,5.0,0.9,1.2
352.5,0.400,2.084,0.324,37.4,5.5,0.0,9.8
7.5,0.401,2.091,0.371,53.3,9.0,8.9,0.0
22.5,0.401,2.091,0.371,52.0,6.9,3.4,0.3
37.5,0.401,2.091,0.371,36.9,4.8,0.0,3.8
52.5,0.401,2.091,0.371,33.8,4.1,0.0,4.5
67.5,0.401,2.091,0.371,31.0,3.5,0.0,2.0
82.5,0.401,2.091,0.371,22.0,3.0,0.0,3.9
97.5,0.401,2.091,0.371,27.4,3.2,0.0,2.7
112.5,0.401,2.091,0.371,24.0,3.1,1.3,0.2
127.5,0.401,2.091,0.371,19.7,3.0,0.0,1.5
142.5,0.401,2.091,0.371,16.2,3.2,0.0,2.6
157.5,0.401,2.091,0.371,15.5,3.6,2.7,0.0
172.5,0.401,2.091,0.371,15.9,3.9,0.1,1.1
187.5,0.401,2.091,0.371,17.4,4.0,0.0,3.5
202.5,0.401,2.091,0.371,17.2,3.4,0.0,3.0
217.5,0.401,2.091,0.371,22.2,3.2,0.3,0.9
232.5,0.401,2.091,0.371,17.1,2.7,1.5,0.1
247.5,0.401,2.091,0.371,22.6,3.0,0.0,4.7
262.5,0.401,2.091,0.371,19.5,2.9,0.4,1.6
277.5,0.401,2.091,0.371,23.7,3.1,0.3,1.0
292.5,0.401,2.091,0.371,27.2,3.5,0.4,1.4
307.5,0.401,2.091,0.371,29.7,3.8,0.2,2.8
322.5,0.401,2.091,0.371,31.6,4.8,0.0,4.5
337.5,0.401,2.091,0.371,33.4,6.4,4.6,0.0
352.5,0.401,2.091,0.371,43.6,8.8,2.9,0.0
