phi,x,Q2,t,value,stat_u,syst_u,syst_ub
7.5,0.378,2.012,0.192,64.0,6.3,1.1,0.9
22.5,0.378,2.012,0.192,68.2,6.2,1.8,2.0
37.5,0.378,2.012,0.192,52.8,5.6,0.0,4.6
52.5,0.378,2.012,0.192,52.4,5.8,0.6,2.8
67.5,0.378,2.012,0.192,53.0,5.4,1.3,0.5
82.5,0.378,2.012,0.192,47.3,5.1,2.3,0.0
97.5,0.378,2.012,0.192,48.2,4.9,3.3,0.0
112.5,0.378,2.012,0.192,46.9,4.7,4.8,1.3
127.5,0.378,2.012,0.192,45.8,4.6,0.0,1.5
142.5,0.378,2.012,0.192,36.5,4.2,1.0,0.0
157.5,0.378,2.012,0.192,33.2,4.0,0.7,1.3
172.5,0.378,2.012,0.192,36.3,4.1,0.0,3.1
187.5,0.378,2.012,0.192,35.6,4.1,0.3,0.8
202.5,0.378,2.012,0.192,37.7,4.3,0.0,4.5
217.5,0.378,2.012,0.192,43.6,4.5,1.1,1.0
232.5,0.378,2.012,0.192,38.1,4.4,0.0,3.5
247.5,0.378,2.012,0.192,37.7,4.3,0.9,1.8
262.5,0.378,2.012,0.192,43.4,4.6,0.0,8.3
277.5,0.378,2.012,0.192,44.1,4.9,1.0,0.8
292.5,0.378,2.012,0.192,50.5,5.3,2.3,0.0
307.5,0.378,2.012,0.192,57.7,5.8,0.3,3.4
322.5,0.378,2.012,0.192,62.1,5.9,0.9,0.9
337.5,0.378,2.012,0.192,62.3,5.9,1.5,0.0
352.5,0.378,2.012,0.192,65.4,6.0,0.0,1.5
7.5,0.392,2.054,0.233,57.0,3.8,0.1,1.2
22.5,0.392,2.054,0.233,55.1,3.6,0.0,2.5
37.5,0.392,2.054,0.233,48.2,3.3,0.5,1.3
52.5,0.392,2.054,0.233,51.4,3.3,3.3,0.1
67.5,0.392,2.054,0.233,42.0,3.0,0.0,3.0
82.5,0.392,2.054,0.233,41.4,2.9,0.0,3.0
97.5,0.392,2.054,0.233,32.8,2.7,0.3,2.6
112.5,0.392,2.054,0.233,33.9,2.6,0.0,2.9
127.5,0.392,2.054,0.233,28.0,2.3,0.0,2.3
142.5,0.392,2.054,0.233,27.3,2.3,0.0,1.0
157.5,0.392,2.054,0.233,27.6,2.2,0.0,1.7
172.5,0.392,2.054,0.233,26.7,2.2,1.6,0.3
187.5,0.392,2.054,0.233,26.6,2.2,0.2,1.0
202.5,0.392,2.054,0.233,30.9,2.3,1.3,0.0
217.5,0.392,2.054,0.233,28.3,2.3,0.8,0.0
232.5,0.392,2.054,0.233,25.6,2.3,0.0,1.5
247.5,0.392,2.054,0.233,30.5,2.5,1.7,0.0
262.5,0.392,2.054,0.233,34.3,2.7,0.7,1.1
277.5,0.392,2.054,0.233,34.5,2.8,0.0,0.9
292.5,0.392,2.054,0.233,41.8,3.0,0.2,0.6
307.5,0.392,2.054,0.233,43.2,3.2,0.0,3.8
322.5,0.392,2.054,0.233,53.2,3.5,0.0,2.5
337.5,0.392,2.054,0.233,53.2,3.5,2.3,0.3
352.5,0.392,2.054,0.233,55.5,3.7,0.0,1.5
7.5,0.398,2.074,0.279,56.3,4.4,1.4,1.7
22.5,0.398,2.074,0.279,45.2,3.8,0.1,0.9
37.5,0.398,2.074,0.279,44.9,3.5,1.4,0.5
