phi,x,Q2,t,value,stat_u,syst_u,syst_ub
247.5,0.342,2.191,0.324,21.4,3.1,0.5,0.7
262.5,0.342,2.191,0.324,30.4,3.9,0.6,0.3
277.5,0.342,2.191,0.324,43.6,4.4,0.1,3.2
292.5,0.342,2.191,0.324,55.0,5.6,0.9,1.2
307.5,0.342,2.191,0.324,39.5,6.2,0.5,2.9
322.5,0.342,2.191,0.324,70.1,9.9,0.0,7.6
337.5,0.342,2.191,0.324,,,,
352.5,0.342,2.191,0.324,,,,
7.5,0.342,2.193,0.371,,,,
22.5,0.342,2.193,0.371,,,,
37.5,0.342,2.193,0.371,68.8,21.3,0.9,14.6
52.5,0.342,2.193,0.371,37.1,10.4,1.6,9.7
67.5,0.342,2.193,0.371,40.6,7.0,6.2,0.0
82.5,0.342,2.193,0.371,29.0,5.0,2.1,1.0
97.5,0.342,2.193,0.371,27.0,4.3,0.2,2.9
112.5,0.342,2.193,0.371,21.0,3.5,0.0,3.1
127.5,0.342,2.193,0.371,18.8,2.9,0.1,3.4
142.5,0.342,2.193,0.371,17.9,2.8,0.5,0.9
157.5,0.342,2.193,0.371,18.7,3.0,1.6,0.0
172.5,0.342,2.193,0.371,17.2,3.2,1.1,0.3
187.5,0.342,2.193,0.371,16.2,2.9,2.2,0.0
202.5,0.342,2.193,0.371,21.3,3.0,2.1,0.5
217.5,0.342,2.193,0.371,17.7,2.8,0.1,0.8
232.5,0.342,2.193,0.371,24.2,3.0,0.0,1.3
247.5,0.342,2.193,0.371,22.5,3.4,0.4,3.9
262.5,0.342,2.193,0.371,18.1,3.6,0.0,2.6
277.5,0.342,2.193,0.371,32.8,4.5,0.0,2.5
292.5,0.342,2.193,0.371,35.5,6.3,2.0,1.9
307.5,0.342,2.193,0.371,43.1,8.7,4.1,0.3
322.5,0.342,2.193,0.371,49.6,15.5,3.6,10.8
337.5,0.342,2.193,0.371,,,,
352.5,0.342,2.193,0.371,,,,
