phi,x,Q2,t,value,stat_u,syst_u,syst_ub
7.5,0.378,2.012,0.192,-2.8,9.1,4.3,2.5
22.5,0.378,2.012,0.192,2.7,8.8,0.7,5.6
37.5,0.378,2.012,0.192,-6.0,7.9,3.6,0.0
52.5,0.378,2.012,0.192,7.2,8.1,2.6,2.5
67.5,0.378,2.012,0.192,-5.9,7.7,2.2,0.7
82.5,0.378,2.012,0.192,18.2,7.2,0.7,1.9
97.5,0.378,2.012,0.192,-0.8,7.3,4.8,0.6
112.5,0.378,2.012,0.192,14,6.7,2.8,0.0
127.5,0.378,2.012,0.192,-0.3,6.7,2.9,0.7
142.5,0.378,2.012,0.192,1.6,6.0,0.0,4.0
157.5,0.378,2.012,0.192,-9.0,5.9,2.5,2.4
172.5,0.378,2.012,0.192,-4.9,5.9,0.0,3.1
187.5,0.378,2.012,0.192,-2.7,6.0,1.4,3.3
202.5,0.378,2.012,0.192,6.7,6.3,0.9,4.1
217.5,0.378,2.012,0.192,-0.8,6.6,0.5,10.0
232.5,0.378,2.012,0.192,-8.7,6.3,2.6,0.0
247.5,0.378,2.012,0.192,-12.0,6.2,0.5,4.0
262.5,0.378,2.012,0.192,-4.0,6.5,0.3,3.8
277.5,0.378,2.012,0.192,-1.2,6.9,0.6,2.9
292.5,0.378,2.012,0.192,-6.0,7.4,0.6,1.6
307.5,0.378,2.012,0.192,0.6,8.3,1.7,5.6
322.5,0.378,2.012,0.192,-2.6,8.3,0.0,8.0
337.5,0.378,2.012,0.192,-14.0,8.6,3.4,1.6
352.5,0.378,2.012,0.192,4.7,8.7,7.7,0.0
7.5,0.392,2.054,0.233,-2.4,5.1,0.0,3.5
22.5,0.392,2.054,0.233,-0.6,4.8,0.5,2.4
37.5,0.392,2.054,0.233,4.1,4.4,1.6,1.1
52.5,0.392,2.054,0.233,13.7,4.5,2.6,0.4
67.5,0.392,2.054,0.233,5.0,4.1,1.1,0.0
82.5,0.392,2.054,0.233,12.4,4.0,0.1,3.3
97.5,0.392,2.054,0.233,4.6,3.6,3.2,0.0
112.5,0.392,2.054,0.233,-0.6,3.6,0.0,2.5
127.5,0.392,2.054,0.233,3.0,3.1,0.0,1.6
142.5,0.392,2.054,0.233,4.8,3.1,0.2,1.7
157.5,0.392,2.054,0.233,4.9,3.0,0.1,1.2
172.5,0.392,2.054,0.233,1.0,3.0,0.8,1.5
187.5,0.392,2.054,0.233,2.5,3.0,0.6,1.1
202.5,0.392,2.054,0.233,-1.0,3.2,0.0,3.2
217.5,0.392,2.054,0.233,1.3,3.1,0.0,2.6
232.5,0.392,2.054,0.233,-1.1,3.1,0.0,4.4
247.5,0.392,2.054,0.233,-10.0,3.4,0.0,2.8
262.5,0.392,2.054,0.233,-2.4,3.7,2.5,0.0
277.5,0.392,2.054,0.233,-12.5,3.7,0.0,3.0
292.5,0.392,2.054,0.233,-13.8,4.1,2.6,0.0
307.5,0.392,2.054,0.233,-5.3,4.2,5.0,0.0
322.5,0.392,2.054,0.233,-15.0,4.6,1.1,1.2
337.5,0.392,2.054,0.233,-1.8,4.8,0.8,0.8
352.5,0.392,2.054,0.233,-3.1,5.0,0.9,0.8
7.5,0.398,2.074,0.279,-0.2,5.9,0.8,1.0
22.5,0.398,2.074,0.279,1.4,5.0,0.0,4.0
37.5,0.398,2.074,0.279,13.3,4.6,4.3,0.0
52.5,0.398,2.074,0.279,11.2,4.4,2.3,0.0
67.5,0.398,2.074,0.279,6.0,3.9,0.6,1.4
82.5,0.398,2.074,0.279,10.6,3.7,0.2,1.8
97.5,0.398,2.074,0.279,4.2,3.5,0.2,1.8
112.5,0.398,2.074,0.279,7.2,3.3,1.0,1.1
127.5,0.398,2.074,0.279,7.3,2.8,3.5,0.0
142.5,0.398,2.074,0.279,4.8,2.8,2.9,0.0
157.5,0.398,2.074,0.279,5.6,2.9,2.1,0.8
172.5,0.398,2.074,0.279,0.6,2.8,1.5,0.1
187.5,0.398,2.074,0.279,1.4,2.7,0.4,1.1
202.5,0.398,2.074,0.279,1.7,2.6,0.0,1.4
217.5,0.398,2.074,0.279,-5.0,3.1,1.9,0.0
232.5,0.398,2.074,0.279,-4.3,2.8,0.3,1.0
247.5,0.398,2.074,0.279,-6.8,3.2,0.4,0.2
262.5,0.398,2.074,0.279,-8.4,3.5,1.9,0.4
277.5,0.398,2.074,0.279,-9.4,3.7,2.4,0.6
292.5,0.398,2.074,0.279,-7.3,3.5,1.5,0.3
307.5,0.398,2.074,0.279,-6.2,4.0,0.5,1.8
322.5,0.398,2.074,0.279,-10.0,4.3,1.0,1.1
337.5,0.398,2.074,0.279,-14.9,5.0,0.0,4.6
352.5,0.398,2.074,0.279,1.0,5.6,4.9,0.7
7.5,0.400,2.084,0.324,3.8,7.7,6.9,0.0
22.5,0.400,2.084,0.324,-1.2,6.8,0.0,3.5
37.5,0.400,2.084,0.324,5.5,5.2,2.0,3.0
52.5,0.400,2.084,0.324,12.3,4.8,1.9,1.2
67.5,0.400,2.084,0.324,8.4,4.2,0.4,2.0
82.5,0.400,2.084,0.324,3.5,3.7,0.0,1.4
97.5,0.400,2.084,0.324,7.2,3.7,1.8,0.0
112.5,0.400,2.084,0.324,-1.1,3.1,2.4,0.0
127.5,0.400,2.084,0.324,11.1,3.2,0.0,4.8
142.5,0.400,2.084,0.324,3.3,3.0,1.8,0.0
157.5,0.400,2.084,0.324,5.3,3.3,0.1,1.5
172.5,0.400,2.084,0.324,-0.7,3.2,1.5,0.3
187.5,0.400,2.084,0.324,-0.5,3.2,2.2,0.7
202.5,0.400,2.084,0.324,1.0,3.4,1.8,0.0
217.5,0.400,2.084,0.324,-1.2,3.2,0.0,1.6
232.5,0.400,2.084,0.324,0.3,3.2,3.2,0.7
247.5,0.400,2.084,0.324,-6.6,3.7,1.6,1.2
262.5,0.400,2.084,0.324,-7.9,3.6,1.3,1.1
277.5,0.400,2.084,0.324,4.4,3.8,3.4,0.0
292.5,0.400,2.084,0.324,-4.5,3.9,0.6,0.7
307.5,0.400,2.084,0.324,-4.1,4.8,4.7,0.2
322.5,0.400,2.084,0.324,-14.6,5.3,0.0,3.9
337.5,0.400,2.084,0.324,-0.2,6.5,0.0,4.5
352.5,0.400,2.084,0.324,-1.7,7.3,2.0,5.9
7.5,0.401,2.091,0.371,-9.0,11.9,1.1,3.2
22.5,0.401,2.091,0.371,0.9,9.2,2.7,1.1
37.5,0.401,2.091,0.371,0.4,6.2,1.4,0.0
52.5,0.401,2.091,0.371,8.3,5.3,2.0,0.4
67.5,0.401,2.091,0.371,5.9,4.5,0.6,1.0
82.5,0.401,2.091,0.371,7.9,3.8,0.0,1.7
97.5,0.401,2.091,0.371,3.3,4.0,0.9,0.2
112.5,0.401,2.091,0.371,6.5,3.9,1.8,0.5
127.5,0.401,2.091,0.371,-1.5,3.6,2.9,0.0
142.5,0.401,2.091,0.371,6.1,3.8,0.0,3.8
157.5,0.401,2.091,0.371,-2.7,4.2,0.6,0.6
172.5,0.401,2.091,0.371,-8.4,4.5,0.1,2.0
187.5,0.401,2.091,0.371,2.9,4.7,4.7,0.0
202.5,0.401,2.091,0.371,3.8,4.1,0.0,1.4
217.5,0.401,2.091,0.371,0.8,3.9,2.6,0.0
232.5,0.401,2.091,0.371,-6.6,3.2,0.5,0.2
247.5,0.401,2.091,0.371,-3.0,3.7,0.0,3.2
262.5,0.401,2.091,0.371,-0.1,3.7,3.5,0.4
277.5,0.401,2.091,0.371,-3.2,3.9,0.4,1.0
292.5,0.401,2.091,0.371,-7.4,4.4,2.4,0.6
307.5,0.401,2.091,0.371,-7.2,4.9,0.8,1.7
322.5,0.401,2.091,0.371,-5.8,6.2,1.0,2.7
337.5,0.401,2.091,0.371,-1.0,8.4,1.2,10.7
352.5,0.401,2.091,0.371,-3.8,12.5,9.3,0.0
